"Variable","SACS_Total","SACS_Centering","SACS_Transcending","CFQ_Total","ATQ_Frequency","ATQ_Believability","ATQ_Combined","WEMWBS_Total","DASS_Depression_x2","DASS_Anxiety_x2","DASS_Stress_x2","DASS_Total_x2"
"SACS_Total",1,0.796214310942434,0.850332105009893,-0.473581595963387,-0.585122458830563,-0.590632425526736,-0.624529311293895,0.64697749123133,-0.547796243999647,-0.380068341479821,-0.418350642804774,-0.5394549292301
"SACS_Centering",0.796214310942434,1,0.358659768613153,-0.575141780905636,-0.622912729679929,-0.602600566191197,-0.653459336729631,0.653654000917097,-0.559431379611289,-0.335117938818603,-0.522901530921648,-0.568047515830592
"SACS_Transcending",0.850332105009893,0.358659768613153,1,-0.232662000551363,-0.36604208578112,-0.396723267943656,-0.400533865176283,0.430864519411798,-0.358090303979166,-0.295313065757935,-0.188917505253399,-0.337492942537187
"CFQ_Total",-0.473581595963387,-0.575141780905636,-0.232662000551363,1,0.649861808656933,0.634176070481746,0.658517884723964,-0.469036258047458,0.594231275548934,0.575672662253929,0.647568643925172,0.715802068005022
"ATQ_Frequency",-0.585122458830563,-0.622912729679929,-0.36604208578112,0.649861808656933,1,0.883993819000595,0.968940351997569,-0.709027754631025,0.832659381143685,0.537580756834352,0.574263421953378,0.802276225147974
"ATQ_Believability",-0.590632425526736,-0.602600566191197,-0.396723267943656,0.634176070481746,0.883993819000595,1,0.972147134433097,-0.645198681744317,0.821879443752288,0.564714436884286,0.548537964110377,0.786493544818698
"ATQ_Combined",-0.624529311293895,-0.653459336729631,-0.400533865176283,0.658517884723964,0.968940351997569,0.972147134433097,1,-0.710878030008996,0.850017408368585,0.563518098705821,0.570882792226907,0.817965364631774
"WEMWBS_Total",0.64697749123133,0.653654000917097,0.430864519411798,-0.469036258047458,-0.709027754631025,-0.645198681744317,-0.710878030008996,1,-0.742628131517561,-0.327124374963827,-0.476473622797923,-0.631629941908254
"DASS_Depression_x2",-0.547796243999647,-0.559431379611289,-0.358090303979166,0.594231275548934,0.832659381143685,0.821879443752288,0.850017408368585,-0.742628131517561,1,0.561705813593816,0.577760426176419,0.872183900272215
"DASS_Anxiety_x2",-0.380068341479821,-0.335117938818603,-0.295313065757935,0.575672662253929,0.537580756834352,0.564714436884286,0.563518098705821,-0.327124374963827,0.561705813593816,1,0.617340859635053,0.827847722849193
"DASS_Stress_x2",-0.418350642804774,-0.522901530921648,-0.188917505253399,0.647568643925172,0.574263421953378,0.548537964110377,0.570882792226907,-0.476473622797923,0.577760426176419,0.617340859635053,1,0.846446298683334
"DASS_Total_x2",-0.5394549292301,-0.568047515830592,-0.337492942537187,0.715802068005022,0.802276225147974,0.786493544818698,0.817965364631774,-0.631629941908254,0.872183900272215,0.827847722849193,0.846446298683334,1
